Country;Variable;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Canada;Financial Markets Access Index;0.08;0.16;0.17;0.1;0.14;0.2;0.24;0.22;0.24;0.22;0.15;0.16;0.16;0.29;0.28;0.33;0.36;0.52;0.53;0.59;0.45;0.47;0.42;0.45;0.44;0.52;0.51;0.51;0.5;0.62;0.66;0.72;0.67;0.68;0.68;0.67;0.69;0.71;0.71;0.71;0.71
Canada;Financial Markets Depth Index;0.3;0.31;0.21;0.24;0.23;0.28;0.34;0.38;0.33;0.36;0.3;0.32;0.32;0.46;0.5;0.58;0.65;0.75;0.82;0.83;0.79;0.77;0.81;0.76;0.78;0.8;0.84;0.91;0.81;0.97;0.97;0.96;0.98;0.99;1;0.98;1;1;1;1;1
Canada;Financial Markets Efficiency Index;0.12;0.12;0.1;0.13;0.13;0.16;0.21;0.28;0.19;0.2;0.18;0.18;0.2;0.28;0.33;0.34;0.37;0.41;0.41;0.33;1;0.89;0.62;0.69;0.74;0.78;0.9;0.99;1;0.98;0.8;0.95;0.81;0.77;0.79;0.85;0.71;0.67;0.87;0.73;0.47
Canada;Financial Markets Index;0.18;0.21;0.16;0.17;0.17;0.22;0.27;0.3;0.26;0.27;0.22;0.23;0.24;0.35;0.39;0.43;0.48;0.58;0.61;0.61;0.76;0.72;0.64;0.65;0.67;0.71;0.77;0.82;0.78;0.87;0.83;0.9;0.84;0.84;0.85;0.85;0.82;0.82;0.88;0.84;0.75
Central African Rep.;Financial Development Index;0.09;0.08;0.09;0.09;0.08;0.08;0.08;0.08;0.07;0.07;0.07;0.07;0.05;0.04;0.04;0.05;0.06;0.05;0.09;0.09;0.06;0.05;0.05;0.05;0.07;0.07;0.06;0.04;0.04;0.04;0.06;0.06;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
Central African Rep.;Financial Institutions Access Index;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Central African Rep.;Financial Institutions Depth Index;0.06;0.05;0.06;0.05;0.05;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Central African Rep.;Financial Institutions Efficiency Index;0.57;0.55;0.56;0.55;0.54;0.52;0.5;0.5;0.48;0.49;0.48;0.47;0.31;0.3;0.26;0.34;0.38;0.38;0.62;0.62;0.41;0.37;0.37;0.37;0.48;0.48;0.41;0.27;0.23;0.28;0.38;0.41;0.32;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23
Central African Rep.;Financial Institutions Index;0.18;0.17;0.17;0.17;0.17;0.16;0.15;0.15;0.14;0.14;0.14;0.14;0.09;0.09;0.08;0.1;0.11;0.11;0.17;0.17;0.12;0.11;0.11;0.1;0.14;0.13;0.12;0.08;0.07;0.09;0.11;0.12;0.1;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Central African Rep.;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Rep.;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Rep.;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Rep.;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;Financial Development Index;0.12;0.12;0.11;0.1;0.11;0.13;0.14;0.14;0.13;0.13;0.13;0.13;0.13;0.11;0.09;0.1;0.09;0.08;0.09;0.09;0.08;0.08;0.08;0.08;0.06;0.07;0.07;0.05;0.06;0.06;0.08;0.07;0.07;0.07;0.08;0.07;0.08;0.08;0.09;0.08;0.08
Chad;Financial Institutions Access Index;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.02
Chad;Financial Institutions Depth Index;0.06;0.04;0.03;0.03;0.03;0.04;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Chad;Financial Institutions Efficiency Index;0.61;0.61;0.59;0.56;0.58;0.62;0.64;0.64;0.64;0.63;0.63;0.63;0.63;0.57;0.47;0.56;0.5;0.47;0.51;0.48;0.42;0.42;0.42;0.48;0.41;0.49;0.46;0.33;0.41;0.42;0.58;0.45;0.5;0.48;0.45;0.35;0.41;0.43;0.49;0.45;0.45
Chad;Financial Institutions Index;0.19;0.18;0.17;0.16;0.17;0.18;0.19;0.19;0.18;0.18;0.18;0.18;0.18;0.16;0.13;0.15;0.14;0.13;0.14;0.13;0.12;0.12;0.12;0.13;0.11;0.13;0.12;0.09;0.11;0.12;0.16;0.12;0.14;0.14;0.13;0.11;0.12;0.13;0.14;0.13;0.13
Chad;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;Financial Markets Depth Index;0.14;0.14;0.12;0.11;0.12;0.17;0.21;0.21;0.21;0.19;0.2;0.2;0.19;0.14;0.1;0.1;0.09;0.09;0.1;0.09;0.09;0.09;0.08;0.06;0.04;0.03;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.08;0.07;0.08;0.08;0.08;0.08;0.08
Chad;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;Financial Markets Index;0.05;0.05;0.05;0.04;0.05;0.06;0.08;0.08;0.08;0.07;0.07;0.07;0.07;0.05;0.04;0.04;0.03;0.03;0.04;0.04;0.03;0.04;0.03;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Chile;Financial Development Index;0.27;0.28;0.37;0.36;0.38;0.36;0.36;0.36;0.35;0.33;0.32;0.32;0.32;0.34;0.36;0.38;0.33;0.37;0.35;0.38;0.39;0.4;0.4;0.46;0.47;0.49;0.48;0.53;0.5;0.53;0.51;0.51;0.5;0.51;0.49;0.48;0.47;0.51;0.5;0.5;0.52
Chile;Financial Institutions Access Index;0.14;0.16;0.24;0.21;0.24;0.19;0.18;0.18;0.19;0.21;0.19;0.21;0.21;0.21;0.21;0.22;0.23;0.23;0.23;0.25;0.25;0.26;0.29;0.32;0.32;0.35;0.38;0.41;0.44;0.45;0.47;0.48;0.49;0.48;0.44;0.43;0.41;0.4;0.38;0.37;0.36
Chile;Financial Institutions Depth Index;0.38;0.44;0.6;0.56;0.6;0.5;0.46;0.43;0.4;0.44;0.41;0.41;0.4;0.43;0.43;0.41;0.42;0.42;0.42;0.48;0.51;0.54;0.55;0.56;0.56;0.54;0.52;0.56;0.56;0.61;0.59;0.58;0.6;0.61;0.63;0.64;0.67;0.66;0.65;0.68;0.71
Chile;Financial Institutions Efficiency Index;0.57;0.65;0.79;0.73;0.77;0.63;0.67;0.66;0.75;0.78;0.75;0.78;0.79;0.79;0.77;0.76;0.71;0.69;0.65;0.63;0.66;0.67;0.68;0.66;0.69;0.7;0.7;0.73;0.73;0.67;0.65;0.59;0.47;0.55;0.6;0.59;0.56;0.65;0.71;0.66;0.66
Chile;Financial Institutions Index;0.37;0.43;0.57;0.52;0.56;0.46;0.45;0.43;0.45;0.48;0.45;0.47;0.46;0.48;0.48;0.47;0.46;0.46;0.45;0.48;0.5;0.52;0.54;0.55;0.56;0.56;0.57;0.61;0.62;0.63;0.63;0.61;0.6;0.61;0.62;0.62;0.61;0.62;0.63;0.62;0.63
Chile;Financial Markets Access Index;0.2;0.15;0.2;0.23;0.23;0.29;0.32;0.35;0.29;0.22;0.21;0.21;0.2;0.23;0.25;0.28;0.29;0.33;0.31;0.31;0.27;0.3;0.32;0.46;0.47;0.52;0.44;0.51;0.47;0.53;0.41;0.45;0.47;0.52;0.45;0.4;0.34;0.41;0.39;0.4;0.43
Chile;Financial Markets Depth Index;0.21;0.16;0.2;0.24;0.24;0.3;0.3;0.3;0.28;0.21;0.2;0.2;0.19;0.25;0.32;0.32;0.25;0.31;0.27;0.36;0.36;0.37;0.35;0.46;0.47;0.47;0.45;0.48;0.36;0.47;0.48;0.45;0.45;0.44;0.43;0.41;0.44;0.5;0.43;0.42;0.47
Chile;Financial Markets Efficiency Index;0.07;0.05;0.07;0.08;0.08;0.11;0.12;0.13;0.11;0.08;0.08;0.08;0.07;0.07;0.1;0.19;0.02;0.13;0.1;0.12;0.12;0.09;0.07;0.11;0.14;0.18;0.2;0.26;0.27;0.2;0.21;0.23;0.18;0.19;0.14;0.13;0.14;0.16;0.21;0.23;0.27
Chile;Financial Markets Index;0.16;0.13;0.16;0.19;0.19;0.24;0.25;0.27;0.23;0.18;0.17;0.17;0.16;0.19;0.23;0.27;0.19;0.26;0.23;0.27;0.26;0.26;0.26;0.35;0.37;0.4;0.37;0.43;0.37;0.41;0.38;0.39;0.38;0.39;0.35;0.32;0.32;0.37;0.36;0.36;0.4
China, P.R.: Hong Kong;Financial Development Index;0.39;0.39;0.37;0.37;0.37;0.4;0.52;0.63;0.51;0.55;0.53;0.49;0.53;0.54;0.61;0.57;0.6;0.74;0.67;0.67;0.7;0.71;0.69;0.72;0.74;0.74;0.75;0.77;0.78;0.76;0.77;0.79;0.74;0.75;0.75;0.79;0.75;0.76;0.79;0.76;0.78
China, P.R.: Hong Kong;Financial Institutions Access Index;0.28;0.27;0.26;0.27;0.26;0.3;0.35;0.34;0.33;0.33;0.32;0.27;0.26;0.26;0.29;0.32;0.32;0.35;0.35;0.35;0.35;0.39;0.4;0.43;0.44;0.44;0.45;0.45;0.46;0.46;0.48;0.49;0.48;0.48;0.48;0.47;0.47;0.46;0.47;0.47;0.46
China, P.R.: Hong Kong;Financial Institutions Depth Index;0.67;0.67;0.66;0.67;0.66;0.69;0.72;0.71;0.7;0.7;0.7;0.67;0.66;0.66;0.67;0.69;0.68;0.69;0.7;0.72;0.73;0.77;0.81;0.85;0.88;0.88;0.9;0.91;0.9;0.91;0.93;0.92;0.93;0.94;0.94;0.94;0.94;0.97;0.96;0.98;1
China, P.R.: Hong Kong;Financial Institutions Efficiency Index;0.65;0.65;0.65;0.65;0.65;0.66;0.68;0.68;0.67;0.67;0.67;0.64;0.63;0.65;0.67;0.7;0.69;0.68;0.67;0.67;0.63;0.64;0.64;0.63;0.73;0.77;0.76;0.61;0.64;0.55;0.55;0.55;0.58;0.61;0.57;0.61;0.61;0.6;0.61;0.62;0.61
China, P.R.: Hong Kong;Financial Institutions Index;0.58;0.57;0.57;0.57;0.57;0.6;0.64;0.63;0.62;0.62;0.61;0.57;0.56;0.57;0.59;0.62;0.61;0.62;0.63;0.63;0.63;0.66;0.69;0.72;0.76;0.77;0.78;0.74;0.75;0.74;0.75;0.75;0.76;0.77;0.76;0.77;0.77;0.77;0.77;0.79;0.79
China, P.R.: Hong Kong;Financial Markets Access Index;0.25;0.24;0.24;0.24;0.24;0.29;0.35;0.32;0.29;0.29;0.28;0.31;0.33;0.45;0.58;0.38;0.46;0.64;0.48;0.74;0.64;0.77;0.66;0.75;0.67;0.7;0.67;0.51;0.5;0.63;0.75;0.75;0.74;0.73;0.72;0.69;0.73;0.74;0.73;0.77;0.77
China, P.R.: Hong Kong;Financial Markets Depth Index;0.28;0.28;0.18;0.17;0.18;0.25;0.43;0.52;0.44;0.48;0.46;0.45;0.52;0.57;0.64;0.7;0.74;0.8;0.8;0.8;0.79;0.8;0.81;0.81;0.81;0.81;0.81;0.82;0.82;0.82;0.82;0.82;0.82;0.82;0.82;0.82;0.82;0.83;0.83;0.82;0.8
China, P.R.: Hong Kong;Financial Markets Efficiency Index;0.02;0.02;0.02;0.02;0.02;0.02;0.35;1;0.39;0.55;0.51;0.39;0.56;0.42;0.58;0.39;0.46;1;0.74;0.46;0.74;0.58;0.48;0.47;0.58;0.49;0.54;0.94;1;0.76;0.68;0.79;0.47;0.5;0.55;0.8;0.5;0.54;0.73;0.46;0.62
China, P.R.: Hong Kong;Financial Markets Index;0.19;0.19;0.15;0.15;0.15;0.19;0.38;0.61;0.38;0.45;0.42;0.39;0.48;0.49;0.61;0.51;0.57;0.82;0.69;0.69;0.74;0.73;0.67;0.7;0.7;0.69;0.69;0.77;0.78;0.75;0.76;0.8;0.7;0.7;0.72;0.78;0.7;0.72;0.78;0.7;0.74
China, P.R.: Macao;Financial Development Index;0;0;0;0;0.33;0.38;0.37;0.35;0.34;0.35;0.36;0.35;0.35;0.37;0.36;0.35;0.34;0.35;0.35;0.33;0.33;0.33;0.34;0.33;0.31;0.3;0.32;0.34;0.36;0.36;0.38;0.35;0.36;0.39;0.4;0.43;0.45;0.45;0.44;0.46;0.48
China, P.R.: Macao;Financial Institutions Access Index;0;0;0;0;0.65;0.78;0.76;0.71;0.69;0.71;0.73;0.71;0.69;0.75;0.76;0.71;0.66;0.71;0.71;0.65;0.66;0.68;0.7;0.68;0.63;0.63;0.69;0.79;0.91;0.91;0.91;0.91;0.91;0.91;0.92;0.93;0.92;0.94;0.94;0.95;0.95
China, P.R.: Macao;Financial Institutions Depth Index;0;0;0;0;0.14;0.17;0.16;0.15;0.16;0.17;0.17;0.17;0.18;0.21;0.21;0.2;0.21;0.23;0.22;0.24;0.23;0.22;0.2;0.19;0.17;0.17;0.16;0.17;0.18;0.19;0.18;0.17;0.18;0.19;0.23;0.37;0.46;0.44;0.42;0.51;0.59
China, P.R.: Macao;Financial Institutions Efficiency Index;0;0;0;0;0.89;0.93;0.92;0.91;0.88;0.88;0.9;0.88;0.86;0.86;0.79;0.81;0.78;0.78;0.75;0.66;0.7;0.69;0.71;0.71;0.7;0.75;0.77;0.75;0.71;0.7;0.71;0.7;0.72;0.74;0.74;0.74;0.74;0.73;0.72;0.72;0.72
China, P.R.: Macao;Financial Institutions Index;0;0;0;0;0.57;0.65;0.63;0.61;0.59;0.61;0.62;0.61;0.6;0.64;0.62;0.6;0.58;0.6;0.6;0.55;0.56;0.57;0.57;0.56;0.52;0.54;0.56;0.61;0.65;0.65;0.65;0.65;0.65;0.67;0.69;0.75;0.79;0.78;0.78;0.82;0.85
China, P.R.: Macao;Financial Markets Access Index;0;0;0;0;0.23;0.28;0.27;0.26;0.25;0.26;0.26;0.26;0.25;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.19;0.19;0.19;0.19;0.19;0.32;0.16;0.15;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
China, P.R.: Macao;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China, P.R.: Macao;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China, P.R.: Macao;Financial Markets Index;0;0;0;0;0.07;0.09;0.09;0.08;0.08;0.08;0.08;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.06;0.06;0.06;0.06;0.06;0.1;0.05;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
China, P.R.: Mainland;Financial Development Index;0;0;0.26;0.26;0.26;0.26;0.27;0.29;0.26;0.25;0.28;0.28;0.28;0.33;0.35;0.35;0.38;0.39;0.39;0.39;0.37;0.35;0.38;0.4;0.43;0.42;0.47;0.51;0.48;0.51;0.52;0.51;0.55;0.56;0.59;0.62;0.63;0.63;0.64;0.63;0.67
China, P.R.: Mainland;Financial Institutions Access Index;0;0;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.04;0.05;0.07;0.09;0.11;0.14;0.25;0.3;0.34;0.44;0.46;0.47;0.53;0.52;0.49
China, P.R.: Mainland;Financial Institutions Depth Index;0;0;0.17;0.17;0.17;0.17;0.2;0.2;0.19;0.2;0.22;0.23;0.22;0.25;0.23;0.23;0.24;0.28;0.29;0.31;0.31;0.33;0.37;0.35;0.39;0.37;0.37;0.37;0.34;0.4;0.41;0.37;0.38;0.38;0.4;0.44;0.45;0.48;0.46;0.46;0.5
China, P.R.: Mainland;Financial Institutions Efficiency Index;0;0;0.69;0.69;0.69;0.69;0.69;0.69;0.7;0.7;0.67;0.68;0.81;0.76;0.75;0.75;0.73;0.72;0.7;0.73;0.73;0.72;0.72;0.75;0.78;0.78;0.77;0.77;0.78;0.78;0.78;0.78;0.77;0.77;0.76;0.74;0.73;0.73;0.74;0.73;0.74
China, P.R.: Mainland;Financial Institutions Index;0;0;0.26;0.26;0.26;0.26;0.28;0.28;0.27;0.28;0.28;0.29;0.32;0.32;0.3;0.31;0.31;0.32;0.32;0.34;0.34;0.34;0.36;0.36;0.39;0.38;0.38;0.38;0.38;0.41;0.43;0.42;0.47;0.49;0.51;0.57;0.58;0.6;0.62;0.61;0.62
China, P.R.: Mainland;Financial Markets Access Index;0;0;0.07;0.07;0.07;0.07;0.07;0.08;0.07;0.06;0.07;0.07;0.07;0.09;0.11;0.1;0.12;0.14;0.13;0.12;0.11;0.1;0.11;0.14;0.15;0.17;0.27;0.24;0.24;0.21;0.18;0.22;0.25;0.23;0.29;0.26;0.31;0.19;0.3;0.21;0.37
China, P.R.: Mainland;Financial Markets Depth Index;0;0;0.11;0.11;0.11;0.11;0.12;0.14;0.12;0.1;0.13;0.12;0.11;0.16;0.2;0.2;0.22;0.26;0.25;0.23;0.2;0.18;0.2;0.22;0.23;0.2;0.37;0.62;0.46;0.56;0.57;0.53;0.54;0.56;0.62;0.66;0.66;0.68;0.59;0.63;0.71
China, P.R.: Mainland;Financial Markets Efficiency Index;0;0;0.57;0.57;0.57;0.56;0.57;0.67;0.56;0.5;0.61;0.6;0.54;0.75;0.87;0.86;0.99;1;1;1;0.89;0.78;0.85;0.93;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
China, P.R.: Mainland;Financial Markets Index;0;0;0.24;0.24;0.24;0.24;0.25;0.29;0.24;0.22;0.26;0.26;0.23;0.33;0.38;0.38;0.43;0.46;0.45;0.44;0.39;0.34;0.38;0.42;0.45;0.44;0.54;0.63;0.56;0.59;0.59;0.58;0.6;0.6;0.64;0.65;0.66;0.63;0.63;0.62;0.7
Colombia;Financial Development Index;0.11;0.12;0.12;0.13;0.13;0.12;0.12;0.11;0.11;0.12;0.13;0.13;0.11;0.12;0.14;0.15;0.16;0.19;0.21;0.24;0.24;0.26;0.27;0.29;0.29;0.28;0.31;0.3;0.34;0.35;0.34;0.34;0.37;0.37;0.37;0.38;0.38;0.38;0.39;0.39;0.39
Colombia;Financial Institutions Access Index;0.1;0.1;0.11;0.12;0.12;0.11;0.11;0.09;0.09;0.1;0.11;0.1;0.1;0.11;0.11;0.12;0.12;0.14;0.15;0.16;0.18;0.18;0.21;0.21;0.21;0.15;0.12;0.11;0.28;0.28;0.31;0.31;0.33;0.35;0.36;0.37;0.36;0.36;0.36;0.35;0.33
Colombia;Financial Institutions Depth Index;0.12;0.13;0.14;0.15;0.15;0.14;0.14;0.1;0.09;0.09;0.11;0.09;0.1;0.12;0.13;0.13;0.14;0.14;0.15;0.15;0.13;0.15;0.17;0.17;0.18;0.19;0.2;0.21;0.23;0.24;0.26;0.25;0.27;0.28;0.29;0.31;0.32;0.35;0.35;0.36;0.41
Colombia;Financial Institutions Efficiency Index;0.23;0.25;0.27;0.3;0.31;0.28;0.28;0.25;0.29;0.4;0.42;0.44;0.38;0.35;0.39;0.38;0.31;0.37;0.31;0.28;0.24;0.35;0.44;0.47;0.5;0.57;0.59;0.56;0.56;0.58;0.46;0.48;0.54;0.55;0.57;0.62;0.59;0.56;0.59;0.59;0.57
Colombia;Financial Institutions Index;0.15;0.17;0.17;0.19;0.2;0.18;0.18;0.15;0.15;0.19;0.2;0.2;0.18;0.19;0.2;0.21;0.19;0.22;0.21;0.21;0.2;0.24;0.28;0.29;0.3;0.29;0.29;0.29;0.36;0.38;0.36;0.37;0.4;0.42;0.43;0.45;0.45;0.45;0.46;0.46;0.47
Colombia;Financial Markets Access Index;0.09;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.07;0.07;0.07;0.05;0.07;0.08;0.11;0.14;0.19;0.23;0.3;0.31;0.3;0.29;0.33;0.36;0.42;0.46;0.53;0.53;0.54;0.51;0.53;0.53;0.54;0.53;0.48;0.49;0.52;0.54;0.54;0.54
Colombia;Financial Markets Depth Index;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.05;0.07;0.09;0.13;0.16;0.21;0.22;0.22;0.2;0.22;0.18;0.14;0.15;0.18;0.15;0.24;0.26;0.24;0.28;0.24;0.21;0.22;0.25;0.24;0.21;0.24;0.26
Colombia;Financial Markets Efficiency Index;0.08;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.06;0.06;0.06;0.04;0.06;0.08;0.09;0.12;0.17;0.22;0.28;0.3;0.29;0.28;0.31;0.27;0.23;0.34;0.21;0.25;0.17;0.13;0.16;0.15;0.12;0.14;0.17;0.16;0.14;0.16;0.13;0.12
Colombia;Financial Markets Index;0.07;0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.06;0.06;0.06;0.06;0.04;0.05;0.07;0.09;0.12;0.16;0.21;0.26;0.28;0.27;0.25;0.29;0.27;0.26;0.31;0.3;0.31;0.32;0.31;0.31;0.32;0.3;0.3;0.29;0.3;0.3;0.3;0.3;0.31
Comoros, Union of the;Financial Development Index;0;0;0.02;0.03;0.04;0.03;0.04;0.04;0.05;0.05;0.05;0.06;0.06;0.05;0.05;0.04;0.02;0.03;0.02;0.02;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.05;0.04;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Comoros, Union of the;Financial Institutions Access Index;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.06;0.05;0.05;0.05;0.05;0.06;0.06;0.06;0.06;0.07
Comoros, Union of the;Financial Institutions Depth Index;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Comoros, Union of the;Financial Institutions Efficiency Index;0;0;0.14;0.18;0.24;0.24;0.27;0.29;0.34;0.31;0.37;0.37;0.38;0.34;0.31;0.31;0.14;0.19;0.12;0.15;0.21;0.21;0.22;0.23;0.27;0.25;0.25;0.25;0.25;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.24
Comoros, Union of the;Financial Institutions Index;0;0;0.04;0.05;0.07;0.07;0.08;0.08;0.1;0.09;0.11;0.11;0.11;0.1;0.09;0.09;0.04;0.06;0.04;0.05;0.06;0.06;0.06;0.07;0.08;0.07;0.07;0.08;0.08;0.07;0.07;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.1;0.1
Comoros, Union of the;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comoros, Union of the;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comoros, Union of the;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comoros, Union of the;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo, Dem. Rep. of the;Financial Development Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.08;0.03;0.04;0.01;0.07;0;0.03;0.06;0.03;0.04;0.03;0.04;0.05;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.05;0.04;0.05
Congo, Dem. Rep. of the;Financial Institutions Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.02;0.01;0.01
Congo, Dem. Rep. of the;Financial Institutions Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Congo, Dem. Rep. of the;Financial Institutions Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.63;0.63;0.2;0.32;0.03;0.48;0.01;0.18;0.47;0.18;0.26;0.17;0.26;0.32;0.28;0.23;0.18;0.16;0.17;0.16;0.19;0.27;0.25;0.23;0.27;0.32;0.24;0.29
Congo, Dem. Rep. of the;Financial Institutions Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16;0.16;0.05;0.09;0.01;0.13;0;0.05;0.13;0.05;0.07;0.05;0.07;0.09;0.08;0.07;0.06;0.05;0.05;0.05;0.06;0.08;0.08;0.08;0.09;0.1;0.08;0.09
Congo, Dem. Rep. of the;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo, Dem. Rep. of the;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0.01;0;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0
